"SUID","EnrichmentMap::Data Set","EnrichmentMap::Overlap_genes","EnrichmentMap::Overlap_size","EnrichmentMap::similarity_coefficient","interaction","name","selected","shared interaction","shared name"
"3462","Ni2CK_egg_go_ko","WP_014237572.1|WP_015436736.1|EXI90689.1|WP_027458166.1|KFB74895.1|SBT06690.1|WP_088382570.1|WP_117608680.1|RPJ44264.1|RTK98005.1|RYF80491.1|TEX48147.1|CDH47611.1|WP_055423698.1|PZQ52337.1|WP_137098281.1|WP_034994456.1|WP_079436674.1|WP_124219361.1|GCL61065.1|WP_008121844.1|PKO83537.1|WP_105998743.1|WP_108893374.1|WP_024516532.1|WP_048670196.1|WP_062590256.1|PKP68941.1|WP_112993160.1|TAK80989.1|WP_042822737.1|OYU49894.1|WP_129635243.1|WP_004259356.1|WP_004266007.1|WP_066879382.1|WP_069037386.1|OHC72288.1|OJX17264.1|WP_076092920.1|WP_079436675.1|PKO37690.1","42","0.8559322033898304","Geneset_Overlap","COG1028 (Geneset_Overlap_Ni2CK_egg_go_ko) K00023","false","Geneset_Overlap","COG1028 (Geneset_Overlap_Ni2CK_egg_go_ko) K00023"
"3463","Ni2CK_egg_go_ko","ODS71062.1|OGV72118.1|RTL04036.1|WP_055423062.1|WP_124220621.1|WP_054965449.1|OJY87033.1|WP_090018893.1|AAM62210.1|WP_010463004.1|WP_012585584.1|WP_027457213.1|WP_028994809.1|WP_043820335.1|WP_056197883.1|ODS95854.1|RTL46920.1","17","1.0","Geneset_Overlap","1MW9S (Geneset_Overlap_Ni2CK_egg_go_ko) COG5013","false","Geneset_Overlap","1MW9S (Geneset_Overlap_Ni2CK_egg_go_ko) COG5013"
"3464","Ni2CK_egg_go_ko","WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|WP_100378545.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|KFB68186.1|WP_048674821.1|OGW34266.1|RUQ37377.1|RUT95275.1|ODT50015.1|WP_079446987.1|OLC74155.1|EXI74690.1|EXI86829.1|KFB66257.1","23","0.9107142857142857","Geneset_Overlap","COG0148 (Geneset_Overlap_Ni2CK_egg_go_ko) 1MU1N","false","Geneset_Overlap","COG0148 (Geneset_Overlap_Ni2CK_egg_go_ko) 1MU1N"
"3465","Ni2CK_egg_go_ko","WP_014237572.1|WP_015436736.1|EXI90689.1|WP_027458166.1|KFB74895.1|SBT06690.1|WP_088382570.1|WP_117608680.1|RPJ44264.1|RTK98005.1|RYF80491.1|TEX48147.1|CDH47611.1|WP_055423698.1|PZQ52337.1|WP_137098281.1|WP_034994456.1|WP_079436674.1|WP_124219361.1|GCL61065.1|WP_008121844.1|PKO83537.1|WP_105998743.1|WP_108893374.1|WP_024516532.1|WP_048670196.1|WP_062590256.1|PKP68941.1|WP_112993160.1|TAK80989.1|WP_042822737.1|OYU49894.1|WP_129635243.1|WP_004259356.1|WP_004266007.1|WP_066879382.1|WP_069037386.1|OHC72288.1|OJX17264.1|WP_076092920.1|WP_079436675.1|PKO37690.1","42","0.8559322033898304","Geneset_Overlap","COG1028 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0018454","false","Geneset_Overlap","COG1028 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0018454"
"3466","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|OGB53242.1|PHY03308.1|WP_026259429.1|WP_078121737.1|ODU69919.1|WP_100265336.1|RTL26355.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","19","1.0","Geneset_Overlap","COG0069 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0015930","false","Geneset_Overlap","COG0069 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0015930"
"3467","Ni2CK_egg_go_ko","WP_016445177.1|WP_026687144.1|WP_056881558.1|WP_062353611.1|WP_068805178.1|WP_069037425.1|WP_126768911.1|WP_130433995.1|WP_008327298.1|WP_011785686.1|WP_079500942.1|SMB26786.1|WP_106750131.1|WP_108420862.1|BBG72102.1|WP_012831206.1|KER84787.1|OHC63200.1|WP_100118974.1|RYF73834.1|WP_133602686.1|CDH44918.1|KGA11706.1|WP_038212960.1|WP_107729813.1|WP_121352471.1|WP_124446715.1|RTL46997.1|CDW92237.1|WP_051313492.1|WP_056321934.1|OYX42542.1|WP_108176231.1|WP_108887811.1|OIO78136.1|WP_072427658.1|PYQ36883.1|WP_113039516.1|WP_082590223.1|WP_108515188.1|WP_004356433.1|WP_011287385.1|EXI67290.1|EXI90485.1|WP_027458181.1|KFB77558.1|WP_066879354.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|TEX48162.1","53","0.8441558441558441","Geneset_Overlap","COG0365 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0003987","false","Geneset_Overlap","COG0365 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0003987"
"3468","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|WP_026259429.1|WP_078121737.1|ODU69919.1|WP_100265336.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","16","0.9210526315789473","Geneset_Overlap","COG0069 (Geneset_Overlap_Ni2CK_egg_go_ko) K00265","false","Geneset_Overlap","COG0069 (Geneset_Overlap_Ni2CK_egg_go_ko) K00265"
"3469","Ni2CK_egg_go_ko","WP_011289321.1|WP_116533100.1|WP_008452502.1|WP_015765413.1|WP_054622132.1|OJW54111.1|RUQ29426.1|WP_020159118.1|KFB67736.1|WP_048670083.1|WP_056668985.1|WP_066739413.1|OIP82009.1|WP_116959715.1|WP_088813028.1|TAK62445.1|WP_055422581.1|WP_058718401.1|WP_110256738.1|SCX09618.1|PKO70472.1|RTL28629.1","22","0.6047619047619047","Geneset_Overlap","COG0191 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0005975","false","Geneset_Overlap","COG0191 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0005975"
"3470","Ni2CK_egg_go_ko","WP_054965449.1|BBG74083.1|RUQ40370.1|ODS71062.1|WP_121428012.1|WP_012585584.1|OJY87033.1|RTL24866.1|OGV72118.1|WP_012203041.1|WP_132542637.1|WP_087648738.1|RTL04036.1|WP_028994809.1|WP_056197883.1|WP_004301710.1|WP_070987526.1|ODS95854.1|WP_092997584.1|WP_110258092.1|WP_011397794.1|WP_043820335.1|WP_020564490.1|WP_124220621.1|KFB69440.1|WP_137098945.1|TAL86698.1|WP_055423062.1|WP_010463004.1|WP_027457213.1|RTL46920.1|WP_090018893.1","32","0.7857142857142857","Geneset_Overlap","GO:0008940 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0009325","false","Geneset_Overlap","GO:0008940 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0009325"
"3471","Ni2CK_egg_go_ko","WP_012807184.1|WP_027459158.1|WP_040039379.1|OGA33678.1|OGA54848.1|OQW70483.1|PIX96075.1|PKO46473.1|EXI84398.1|WP_046849784.1|WP_136383560.1|OQW94285.1|KFB77167.1|WP_066884054.1|OJW48649.1|WP_074708295.1","16","0.7905882352941176","Geneset_Overlap","K15987 (Geneset_Overlap_Ni2CK_egg_go_ko) 2VI3K","false","Geneset_Overlap","K15987 (Geneset_Overlap_Ni2CK_egg_go_ko) 2VI3K"
"3472","Ni2CK_egg_go_ko","WP_016445177.1|WP_026687144.1|WP_068805178.1|WP_069037425.1|WP_126768911.1|WP_130433995.1|WP_008327298.1|WP_079500942.1|SMB26786.1|WP_108420862.1|BBG72102.1|OHC63200.1|WP_100118974.1|RYF73834.1|WP_133602686.1|WP_038212960.1|WP_107729813.1|WP_124446715.1|RTL46997.1|CDW92237.1|WP_056321934.1|OIO78136.1|WP_072427658.1|WP_113039516.1|WP_004356433.1|WP_011287385.1|EXI67290.1|EXI90485.1|WP_027458181.1|KFB77558.1|WP_066879354.1|WP_094267692.1|WP_117608985.1|WP_121428293.1|RTL28235.1|WP_133591291.1|TEX48162.1","37","0.8232057416267943","Geneset_Overlap","2VIP3 (Geneset_Overlap_Ni2CK_egg_go_ko) K01895","false","Geneset_Overlap","2VIP3 (Geneset_Overlap_Ni2CK_egg_go_ko) K01895"
"3473","Ni2CK_egg_go_ko","WP_021250893.1|EXI88868.1|WP_027948216.1|OGB39869.1|PKO33963.1|KFB77383.1|SBT04792.1|WP_103044472.1|WP_110266925.1|WP_035028480.1|TAL00290.1|WP_068417668.1|WP_020204933.1|WP_056342529.1|WP_011237922.1|WP_011289727.1|EPZ14081.1|WP_028993732.1|KFB78396.1|WP_079435329.1|OUR93722.1|TAH40782.1","22","1.0","Geneset_Overlap","1MUXX (Geneset_Overlap_Ni2CK_egg_go_ko) COG1884","false","Geneset_Overlap","1MUXX (Geneset_Overlap_Ni2CK_egg_go_ko) COG1884"
"3474","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|WP_026259429.1|WP_078121737.1|ODU69919.1|WP_100265336.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","16","0.9210526315789473","Geneset_Overlap","K00265 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0015930","false","Geneset_Overlap","K00265 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0015930"
"3475","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|OGB53242.1|WP_026259429.1|WP_078121737.1|ODU69919.1|WP_100265336.1|RTL26355.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","18","0.9736842105263157","Geneset_Overlap","1MU7B (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0016638","false","Geneset_Overlap","1MU7B (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0016638"
"3476","Ni2CK_egg_go_ko","WP_014237572.1|WP_015436736.1|EXI90689.1|WP_027458166.1|KFB74895.1|SBT06690.1|WP_088382570.1|WP_117608680.1|RPJ44264.1|RYF80491.1|TEX48147.1|CDH47611.1|WP_079436674.1|WP_124219361.1|GCL61065.1|PKO83537.1|WP_112993160.1|TAK80989.1|WP_004259356.1|WP_004266007.1|WP_066879382.1|WP_069037386.1|OHC72288.1|OJX17264.1|WP_076092920.1|WP_079436675.1|PKO37690.1","27","0.8292682926829269","Geneset_Overlap","2VH8R (Geneset_Overlap_Ni2CK_egg_go_ko) 1MUEV","false","Geneset_Overlap","2VH8R (Geneset_Overlap_Ni2CK_egg_go_ko) 1MUEV"
"3477","Ni2CK_egg_go_ko","WP_011397794.1|AHA36497.1|KFB69440.1|WP_070987526.1|WP_087648738.1|WP_110258092.1|BBG74083.1|WP_092997584.1|TAL86698.1|WP_137098945.1|WP_020564490.1|WP_132542637.1|RUQ40370.1|WP_004301710.1|WP_012203041.1|WP_121428012.1","16","1.0","Geneset_Overlap","K00371 (Geneset_Overlap_Ni2CK_egg_go_ko) COG1140","false","Geneset_Overlap","K00371 (Geneset_Overlap_Ni2CK_egg_go_ko) COG1140"
"3478","Ni2CK_egg_go_ko","SCX09618.1|WP_011289321.1|WP_055422581.1|WP_058718401.1|WP_116533100.1|WP_120787188.1|WP_066739413.1|OJW54111.1|TAK62445.1|WP_008452502.1|RUQ29426.1|PKO70472.1|WP_048670083.1|WP_116959715.1|OIP82009.1|WP_015765413.1|PZQ33640.1|WP_056668985.1|WP_020159118.1|KFB67736.1|WP_054622132.1|WP_088813028.1|WP_110256738.1|RTL28629.1","24","0.5462184873949579","Geneset_Overlap","GO:0006096 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004332","false","Geneset_Overlap","GO:0006096 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004332"
"3479","Ni2CK_egg_go_ko","WP_012807184.1|WP_027459158.1|WP_040039379.1|OGA33678.1|OGA54848.1|OQW70483.1|WP_092933185.1|PIX96075.1|PKO46473.1|WP_106748051.1|WP_108174417.1|EXI84398.1|WP_046849784.1|WP_136383560.1|WP_062357469.1|OQW94285.1|WP_082034659.1|ODT53893.1|GBD23787.1|RLS34308.1|KFB77167.1|WP_066884054.1|OJW48649.1|WP_074708295.1","24","0.98","Geneset_Overlap","COG3808 (Geneset_Overlap_Ni2CK_egg_go_ko) K15987","false","Geneset_Overlap","COG3808 (Geneset_Overlap_Ni2CK_egg_go_ko) K15987"
"3480","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|OGB53242.1|PHY03308.1|WP_078121737.1|ODU69919.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","16","0.9444444444444444","Geneset_Overlap","COG0067 (Geneset_Overlap_Ni2CK_egg_go_ko) COG0070","false","Geneset_Overlap","COG0067 (Geneset_Overlap_Ni2CK_egg_go_ko) COG0070"
"3481","Ni2CK_egg_go_ko","WP_108887811.1|WP_011287385.1|WP_026687144.1|WP_130433995.1|OIO78136.1|SMB26786.1|WP_108176231.1|WP_011785686.1|WP_056881558.1|TEX48162.1|CDH44918.1|EXI67290.1|WP_016445177.1|WP_124446715.1|RTL46997.1|WP_108420862.1|WP_062353611.1|WP_079500942.1|WP_066879354.1|KFB77558.1|BBG72102.1|WP_113039516.1|OYX42542.1|WP_094267692.1|WP_068805178.1|WP_072427658.1|WP_027458181.1|WP_069037425.1|WP_126768911.1|RYF73834.1|KER84787.1|WP_012831206.1|WP_133591291.1|WP_107729813.1|WP_133602686.1|OHC63200.1|WP_106750131.1|WP_004356433.1|EXI90485.1|WP_038212960.1|WP_117608985.1|WP_121428293.1|WP_008327298.1|WP_100118974.1|CDW92237.1|RTL28235.1|WP_056321934.1","47","0.7567295597484277","Geneset_Overlap","GO:0003987 (Geneset_Overlap_Ni2CK_egg_go_ko) 1MUF5","false","Geneset_Overlap","GO:0003987 (Geneset_Overlap_Ni2CK_egg_go_ko) 1MUF5"
"3482","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|WP_078121737.1|ODU69919.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","14","0.8263888888888888","Geneset_Overlap","K00265 (Geneset_Overlap_Ni2CK_egg_go_ko) COG0070","false","Geneset_Overlap","K00265 (Geneset_Overlap_Ni2CK_egg_go_ko) COG0070"
"3483","Ni2CK_egg_go_ko","WP_042422614.1|OGS92337.1|OHC67264.1|WP_102041803.1|KIF33670.1|WP_079690089.1|WP_100378545.1|PKO71921.1|WP_106748256.1|PZP66845.1|TKT73400.1|WP_084055521.1|WP_088344563.1|SPS06403.1|CCL39299.1|KFB68186.1|WP_048674821.1|OGW34266.1|RUQ37377.1|RUT95275.1|ODT50015.1|OLL99361.1|WP_079446987.1|KXK23501.1|OLC74155.1|EXI74690.1|EXI86829.1|KFB66257.1","28","1.0","Geneset_Overlap","COG0148 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004634","false","Geneset_Overlap","COG0148 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004634"
"3484","Ni2CK_egg_go_ko","WP_012584828.1|WP_015765720.1|EXI66302.1|EXI88854.1|KFB66912.1|KFB73572.1","6","0.2757352941176471","Geneset_Overlap","1RB94 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0034220","false","Geneset_Overlap","1RB94 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0034220"
"3485","Ni2CK_egg_go_ko","RTL37413.1|TAK91950.1|OHC70316.1|TAH41053.1|WP_011288588.1|WP_007866641.1|WP_011158456.1|WP_075187930.1|WP_004361350.1|TEX44640.1|WP_090702123.1|WP_004651294.1|EXI68690.1|WP_108176835.1|WP_084269874.1|WP_121457279.1|WP_011239598.1|PKO90014.1|WP_020891317.1|WP_013215864.1|PJI38023.1|WP_133314182.1|WP_121241506.1|WP_128198914.1|WP_056876738.1|EXI79150.1|OIP08438.1|OGP09261.1|OJY14595.1|WP_012204342.1|OFZ97010.1|RZI70655.1|WP_042084243.1|EXI78438.1|WP_015435441.1|WP_055037836.1|KFB68261.1|KFB77946.1|KPK19984.1|WP_068082899.1|WP_114401430.1|PZR33558.1|WP_028995009.1|WP_117609045.1","44","0.9150943396226415","Geneset_Overlap","GO:0004108 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0046912","false","Geneset_Overlap","GO:0004108 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0046912"
"3486","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|WP_026259429.1|WP_078121737.1|ODU69919.1|WP_100265336.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","16","0.7962962962962963","Geneset_Overlap","K00265 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0006537","false","Geneset_Overlap","K00265 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0006537"
"3487","Ni2CK_egg_go_ko","WP_108887811.1|WP_011287385.1|WP_026687144.1|WP_130433995.1|OIO78136.1|SMB26786.1|WP_108176231.1|WP_082590223.1|WP_011785686.1|WP_056881558.1|TEX48162.1|WP_108515188.1|CDH44918.1|EXI67290.1|WP_016445177.1|KGA11706.1|WP_124446715.1|RTL46997.1|WP_108420862.1|WP_062353611.1|WP_121352471.1|WP_079500942.1|WP_066879354.1|KFB77558.1|BBG72102.1|WP_113039516.1|OYX42542.1|WP_094267692.1|WP_068805178.1|WP_072427658.1|WP_027458181.1|WP_069037425.1|PYQ36883.1|WP_126768911.1|RYF73834.1|KER84787.1|WP_012831206.1|WP_133591291.1|WP_107729813.1|WP_133602686.1|OHC63200.1|WP_106750131.1|WP_004356433.1|EXI90485.1|WP_038212960.1|WP_117608985.1|WP_121428293.1|WP_008327298.1|WP_100118974.1|CDW92237.1|RTL28235.1|WP_051313492.1|WP_056321934.1","53","0.9907407407407407","Geneset_Overlap","GO:0019427 (Geneset_Overlap_Ni2CK_egg_go_ko) K01895","false","Geneset_Overlap","GO:0019427 (Geneset_Overlap_Ni2CK_egg_go_ko) K01895"
"3488","Ni2CK_egg_go_ko","WP_011289321.1|WP_116533100.1|WP_008452502.1|WP_015765413.1|WP_054622132.1|OJW54111.1|RUQ29426.1|WP_020159118.1|KFB67736.1|WP_048670083.1|WP_056668985.1|WP_066739413.1|OIP82009.1|WP_116959715.1|WP_088813028.1|TAK62445.1|WP_055422581.1|WP_058718401.1|WP_110256738.1|SCX09618.1|PKO70472.1|RTL28629.1","22","0.8928571428571428","Geneset_Overlap","K01624 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004332","false","Geneset_Overlap","K01624 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004332"
"3489","Ni2CK_egg_go_ko","WP_056876738.1|OJY14595.1|WP_114401430.1|RZI70655.1|KPK19984.1|OIP08438.1|WP_128198914.1|WP_007866641.1|TAK91950.1|EXI78438.1|WP_004361350.1|WP_011239598.1|WP_011288588.1|WP_012204342.1|WP_015435441.1|EXI68690.1|EXI79150.1|WP_028995009.1|KFB68261.1|KFB77946.1|OFZ97010.1|OHC70316.1|WP_090702123.1|PKO90014.1|WP_117609045.1|WP_121241506.1|WP_121457279.1|RTL37413.1|TAH41053.1|TEX44640.1","30","0.8409090909090908","Geneset_Overlap","2VIJF (Geneset_Overlap_Ni2CK_egg_go_ko) K01647","false","Geneset_Overlap","2VIJF (Geneset_Overlap_Ni2CK_egg_go_ko) K01647"
"3490","Ni2CK_egg_go_ko","WP_079436965.1|WP_027457591.1|WP_088280307.1|WP_015434924.1|WP_121240971.1|WP_079436653.1|KFB68460.1|WP_124863951.1|EXI77606.1|KFB77884.1|AJP47391.1|BAO81333.1|WP_053171628.1|WP_120997741.1|WP_075585271.1|WP_062537947.1|KFB71335.1|WP_043958486.1|WP_050414481.1|KFB77671.1|WP_114481836.1|WP_110526395.1|WP_107493691.1|SDK69953.1|RTL28737.1|EXI65372.1|WP_115859473.1|WP_079436935.1|ABX34483.1|WP_091962975.1|WP_035606034.1|WP_079432882.1|WP_026686701.1|TEX48482.1|WP_099407460.1|OJX12888.1|BBG72354.1|WP_022966273.1|TAJ78630.1|TAH50398.1|OYV32593.1|WP_079435811.1|CCD40799.1|WP_018410904.1|PKO34638.1|WP_079437052.1|WP_079433649.1|WP_011238311.1|RTL30820.1|PHM18746.1|WP_004084640.1|PKO90048.1|EAY62807.1|KPP96145.1|KYP10271.1|WP_110528740.1|WP_079435336.1|WP_028995019.1|WP_014235783.1|OGW39046.1|WP_079435984.1|WP_023398858.1|WP_041099466.1|WP_136220587.1|WP_077033477.1|WP_079433563.1|PKO36808.1|WP_011765220.1","68","0.9358974358974359","Geneset_Overlap","GO:0004812 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0006418","false","Geneset_Overlap","GO:0004812 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0006418"
"3491","Ni2CK_egg_go_ko","WP_102041803.1|KFB66257.1|EXI74690.1|WP_079446987.1|WP_106748256.1|TKT73400.1|WP_042422614.1|OLC74155.1|WP_100378545.1|WP_088344563.1|CCL39299.1|OLL99361.1|PZP66845.1|ODT50015.1|WP_079690089.1|WP_084055521.1|OGW34266.1|OGS92337.1|KXK23501.1|PKO71921.1|KIF33670.1|WP_048674821.1|SPS06403.1|RUT95275.1|KFB68186.1|RUQ37377.1|OHC67264.1|EXI86829.1","28","0.6428571428571428","Geneset_Overlap","GO:0006096 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004634","false","Geneset_Overlap","GO:0006096 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0004634"
"3492","Ni2CK_egg_go_ko","AGW92175.1|EXI82919.1|WP_102040584.1|KFB78215.1|OGB53242.1|PHY03308.1|WP_026259429.1|WP_078121737.1|ODU69919.1|WP_100265336.1|EEQ94142.1|WP_011285986.1|WP_050417645.1|WP_079434406.1|OZB45857.1|WP_102245658.1|WP_117610156.1|WP_130459456.1","18","0.8333333333333333","Geneset_Overlap","COG0067 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0006537","false","Geneset_Overlap","COG0067 (Geneset_Overlap_Ni2CK_egg_go_ko) GO:0006537"
